price,ask,bid,volume,time,size,trade_id
1128.38000000,1128.37,1128.06,8605.38437580,2017-04-05T21:47:35.931000Z,0.01370000,14174681
1128.38000000,1128.38,1128.11,8600.91678603,2017-04-05T21:47:49.482000Z,0.01137427,14174683
1128.36000000,1128.38,1128.08,8600.91678603,2017-04-05T21:48:06.896000Z,0.04085689,14174685
1128.38000000,1128.38,1128.06,8600.91678603,2017-04-05T21:48:19.505000Z,0.05000000,14174687
1128.32000000,1128.26,1128.06,8600.91678603,2017-04-05T21:48:22.001000Z,0.07000000,14174688
1128.28000000,1128.38,1128.23,8600.91678603,2017-04-05T21:48:31.563000Z,0.10930000,14174690
1128.28000000,1128.36,1128.06,8600.91678603,2017-04-05T21:48:31.563000Z,0.10930000,14174690
1128.46000000,1128.45,1128.16,8605.94964292,2017-04-05T21:49:02.658000Z,0.05590000,14174693
1128.46000000,1128.46,1128.38,8605.94964292,2017-04-05T21:49:02.658000Z,0.05590000,14174693
1128.46000000,1128.46,1128.38,8605.94964292,2017-04-05T21:49:02.658000Z,0.05590000,14174693
1128.46000000,1128.46,1128.45,8605.94964292,2017-04-05T21:49:33.474000Z,0.45890000,14174695
1128.46000000,1128.7,1128.6,8605.94964292,2017-04-05T21:49:33.474000Z,0.45890000,14174695
1128.90000000,1128.87,1128.61,8605.94964292,2017-04-05T21:49:50.827000Z,0.03870000,14174698
1128.96000000,1128.93,1128.61,8597.72275580,2017-04-05T21:50:04.284000Z,0.61359258,14174702
1128.96000000,1128.9,1128.61,8597.72275580,2017-04-05T21:50:04.284000Z,0.61359258,14174702
1128.96000000,1128.88,1128.74,8597.42465580,2017-04-05T21:50:04.284000Z,0.61359258,14174702
1128.96000000,1128.87,1128.61,8597.42465580,2017-04-05T21:50:04.284000Z,0.61359258,14174702
1128.94000000,1128.9,1128.76,8597.72275580,2017-04-05T21:50:39.741000Z,0.99330000,14174705
1128.94000000,1128.95,1128.71,8597.72275580,2017-04-05T21:50:39.741000Z,0.99330000,14174705
1128.94000000,1128.81,1128.71,8597.99144355,2017-04-05T21:50:39.741000Z,0.99330000,14174705
1128.80000000,1128.95,1128.75,8597.99144355,2017-04-05T21:51:10.614000Z,0.44610000,14174706
1128.80000000,1128.95,1128.78,8597.99144355,2017-04-05T21:51:10.614000Z,0.44610000,14174706
1129.00000000,1129,1128.82,8597.99144355,2017-04-05T21:51:41.806000Z,0.09265393,14174711
1129.00000000,1129,1128.79,8594.66590811,2017-04-05T21:51:41.806000Z,0.09265393,14174711
1129.00000000,1129,1128.84,8594.66590811,2017-04-05T21:51:41.806000Z,0.09265393,14174711
1128.75000000,1128.98,1128.76,8597.99144355,2017-04-05T21:52:12.741000Z,0.87130000,14174717
1128.98000000,1128.98,1128.89,8597.99144355,2017-04-05T21:52:19.683000Z,0.21611763,14174718
1128.98000000,1128.98,1128.86,8594.66590811,2017-04-05T21:52:19.683000Z,0.21611763,14174718
1128.98000000,1128.97,1128.86,8576.48369565,2017-04-05T21:52:44.548000Z,0.18000000,14174721
1128.98000000,1128.97,1128.87,8594.66590811,2017-04-05T21:52:44.548000Z,0.18000000,14174721
1128.98000000,1128.97,1128.87,8576.48369565,2017-04-05T21:52:44.548000Z,0.18000000,14174721
1129.00000000,1128.99,1128.87,8576.48369565,2017-04-05T21:53:15.249000Z,1.14300000,14174725
1128.75000000,1128.76,1128.75,8576.48369565,2017-04-05T21:53:21.899000Z,2.45405423,14174729
1128.75000000,1128.9,1128.75,8570.53177006,2017-04-05T21:53:38.452000Z,0.68240000,14174730
1128.97000000,1128.94,1128.76,8570.53177006,2017-04-05T21:53:45.955000Z,1.76580000,14174737
1128.97000000,1128.94,1128.79,8570.53177006,2017-04-05T21:53:45.955000Z,1.76580000,14174737
1128.98000000,1128.98,1128.79,8570.53177006,2017-04-05T21:54:09.428000Z,0.01131463,14174738
1129.00000000,1128.99,1128.79,8570.53177006,2017-04-05T21:54:16.990000Z,0.08401463,14174741
1128.99000000,1128.98,1128.79,8570.53177006,2017-04-05T21:54:29.206000Z,0.02910000,14174743
1128.99000000,1128.99,1128.88,8570.53177006,2017-04-05T21:54:29.206000Z,0.02910000,14174743
1129.00000000,1129,1128.88,8579.74012104,2017-04-05T21:54:48.042000Z,0.42820000,14174745
1129.00000000,1129,1128.88,8579.74012104,2017-04-05T21:54:48.042000Z,0.42820000,14174745
1129.00000000,1129,1128.88,8579.74012104,2017-04-05T21:54:48.042000Z,0.42820000,14174745
1129.00000000,1129,1128.88,8579.74012104,2017-04-05T21:55:21.572000Z,0.04976628,14174747
1129.00000000,1129,1128.88,8579.74012104,2017-04-05T21:55:21.572000Z,0.04976628,14174747
1129.00000000,1128.96,1128.88,8573.30119979,2017-04-05T21:55:21.572000Z,0.04976628,14174747
1128.95000000,1128.95,1128.88,8572.85751071,2017-04-05T21:55:56.578000Z,0.06380394,14174749
1128.95000000,1128.95,1128.88,8573.30119979,2017-04-05T21:56:08.076000Z,0.09825488,14174750
1128.95000000,1128.95,1128.94,8573.30119979,2017-04-05T21:56:08.076000Z,0.09825488,14174750
