Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value;Index BTC;Index Port
16:49.6;0.940274;1.07E-05;0;3436.395;1;10014.2375;1.003600983;1.00142375
17:08.1;0.898627;1.07E-05;0;3436.955;1.1;10014.7975;1.003764531;1.00147975
17:23.8;0.921681;1.07E-05;0;3436.955;1.1;10014.7975;1.003764531;1.00147975
17:39.5;0.142198;1.05E-05;-1;3436.955;1.1;10014.7975;1.003764531;1.00147975
17:55.4;0.00208883;1.03E-05;-1;3436.955;1.1;10014.7975;1.003764531;1.00147975
18:13.2;0.00107035;1.03E-05;-1;3436.965;1.1;10014.8085;1.003767452;1.00148085
18:29.4;0.108581;1.02E-05;-1;3437.895;1.1;10015.8315;1.004039059;1.00158315
18:45.6;0.933037;1.00E-05;0;3438.465;1.1;10016.4585;1.004205528;1.00164585
19:02.1;0.998956;9.87E-06;0;3438.465;1.1;10016.4585;1.004205528;1.00164585
19:18.7;0.919657;9.73E-06;0;3438.465;1.1;10016.4585;1.004205528;1.00164585
19:34.9;0.0910595;9.60E-06;-1;3439.585;1.1;10017.6905;1.004532624;1.00176905
19:51.5;0.127913;9.59E-06;-1;3439.585;1.1;10017.6905;1.004532624;1.00176905
